~iteration~,m,gamma,op,on,delta_p,delta_n
3096,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3105,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3114,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3123,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3132,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3141,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3150,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3159,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3168,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3177,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3186,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3195,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3204,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3213,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3222,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3231,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3240,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3249,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3258,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3267,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3276,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3285,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3294,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3303,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3312,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3321,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3330,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3339,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3348,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3357,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3366,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3375,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3384,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3393,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3402,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3411,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3420,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3429,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3438,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3447,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3456,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3465,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3474,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3483,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3492,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3501,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3510,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3519,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3528,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3537,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3546,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3555,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3564,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3573,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3582,0.8,80,1.8,-0.8,0.19999999999999996,0.8
3591,0.8,80,1.8,-0.8,0.19999999999999996,0.8
